Custid,BillAmt_1,BillAmt_2,BillAmt_3
1001,30.13,21.21,12.59
1002,11.06,3.54,4.58
1003,10.33,2.08,3.48
1004,7.97,0.63,2.25
1005,9.25,4.42,3.81
1006,1.44,2.26,0.82
1007,18.07,0.63,7.23
1008,23.82,4.15,10.27
1009,7.54,2.07,2.47
1010,13.14,3.59,2.07
1011,30.21,11.53,8.27
1012,16.45,6.3,2.73
1013,15.24,2.04,2.25
1014,12.41,2.26,4.01
1015,16.03,1.76,2.39
1016,19.81,0.92,2.95
1017,23.2,6.41,7.74
1018,10.68,2.62,1.23
1019,9.24,2.2,3.24
1020,5.91,1.18,2.65
1021,5.72,1.83,2.59
1022,14.73,0.4,5.97
1023,3.84,1.62,1.25
1024,8.96,3.59,1.65
1025,18.74,4.01,5.73
1026,28.17,16.29,18.82
1027,21.62,3.84,14.52
1028,4.78,1.03,1.72
1029,11.61,0.67,3.59
1030,13.43,1.79,2.7
1031,1.43,2.14,0.97
1032,3.8,0.6,2.47
1033,5.6,0.93,1.89
1034,15.25,2.19,5.13
1035,19.01,7.81,9.35
1036,4.2,0.35,2.86
1037,16.29,2.7,5.76
1038,12.46,2.91,2.79
1039,24.18,8.31,4.19
1040,16.3,1,5.12
1041,16.35,4.74,2.23
1042,10.6,2.05,1.02
1043,6.64,1.86,2.73
1044,19.41,8.54,27.43
1045,13.93,5.65,5.73
1046,17.86,2.84,4.29
1047,8.18,1.33,0.66
1048,13.59,1.42,3.53
1049,4.28,0.93,0.31
1050,5.71,0.67,2.54
1051,4.27,1.51,1.92
1052,22.02,0.99,2.48
1053,5.53,0.47,2.32
1054,11.1,3.42,5.06
1055,16.31,6.9,5.8
1056,15.21,1.37,9.38
1057,25,4.63,4.67
1058,18.74,2.21,2.69
1059,27.79,4.03,9.51
1060,9.11,3.88,1.26
1061,7.14,0.16,2.36
1062,4.73,2.12,0.37
1063,18.68,4.07,2.81
1064,9.06,1.54,2.6
1065,17.76,1.7,1.15
1066,6.13,2.28,1.2
1067,11.33,1.49,2.53
1068,3,0.5,1.21
1069,13.85,7.06,2.72
1070,4.34,2.4,1.58
1071,9.65,2.78,3.83
1072,9.81,1.96,2.07
1073,7.72,2,1.08
1074,43.14,17.48,15.85
1075,3.22,1.53,1.7
1076,3.8,0.51,1.51
1077,10.16,2.1,2.67
1078,6.44,1.15,1.13
1079,9.01,1.83,2.57
1080,6.88,2.09,1.41
1081,9.28,1.98,2.94
1082,35.28,7.31,10.79
1083,18.3,4.63,4.8
1084,4.76,2.22,0.7
1085,11.65,1.97,5.27
1086,25.06,1.62,5.92
1087,7.46,3.12,1.38
1088,3.82,1.02,5.34
1089,8.88,2.73,1.8
1090,10.43,2.53,4.27
1091,7.37,2.64,3.44
1092,10.47,1.11,1.67
1093,6.95,3.1,2.48
1094,20.86,9.2,8.14
1095,22.12,4.18,9.16
1096,15.47,0.71,5.86
1097,20.16,2.05,5.41
1098,14.56,5.43,3.07
1099,13.83,3.29,2.27
1100,9.93,0.9,2.26
1101,12.23,3.28,3.03
1102,1.76,0.45,0.66
1103,11.07,2.05,2.74
1104,32.83,4.27,16.1
1105,18.18,2.29,5.1
1106,14.28,4.07,7
1107,10.61,2.38,2.91
1108,8.6,2.86,4.95
1109,7.27,3.11,0
1110,8.92,0.5,2.53
1111,6.89,2.58,1.45
1112,14.49,3.68,9.47
1113,6.42,2.66,1.7
1114,15.72,3.67,1.62
1115,25.33,2.83,4.84
1116,7.77,1.68,3.81
1117,5.62,0.39,1.87
1118,7.58,0.91,2.93
1119,28.73,6.55,9.55
1120,32.44,3.34,13.87
1121,15.65,2.63,3.43
1122,4.3,1.09,3.51
1123,10.5,2.18,1.57
1124,7.23,0.97,2.64
1125,20.5,3.69,6.34
1126,2.53,2.08,2.41
1127,5.88,1.98,0.88
1128,3.31,1.45,1.8
1129,7.6,1.44,1.79
1130,24.26,9.4,9.15
1131,28.34,10.1,9.32
1132,8.53,2.18,2.07
1133,9.14,2.81,4.88
1134,15.64,3.95,3.24
1135,22.68,7.25,6.65
1136,8.09,1.17,3.31
1137,2.89,1.44,0.25
1138,7.88,4.42,8.55
1139,7.02,2.58,0.91
1140,6.86,0.93,2.72
1141,16.88,5.82,10.59
1142,13.11,2.97,3.54
1143,21.92,4.6,11.96
1144,32.84,4.43,4.95
1145,7.6,18.98,14.03
1146,17.54,5.24,4.56
1147,5.53,1.12,1.17
1148,15.11,2.1,2.57
1149,16.25,4.13,3.98
1150,20.43,1.83,3.39
1151,4.96,2.72,5.16
1152,14.23,1.46,2.48
1153,16.89,5.43,4.17
1154,9.39,3.06,2.63
1155,19.43,3.09,3.96
1156,15.84,1.97,3.36
1157,9.23,3.07,10.87
1158,19.13,2.6,3.16
1159,15.1,3.7,2.76
1160,4.73,2.19,0.84
1161,4.05,0.59,1.71
1162,13.82,2.37,3.07
1163,4.08,1.66,1.91
1164,8.99,1.28,2.06
1165,26.75,2.78,4.94
1166,24.97,2.39,4.14
1167,19.91,16.89,23.35
1168,6.94,2.51,2.19
1169,21.4,3.73,10.02
1170,7.9,0.36,2.53
1171,20.08,3.15,3.4
1172,8.28,0.7,3.03
1173,14.49,2.22,3.43
1174,7.67,1.95,1.7
1175,4,0.86,2.54
1176,12.56,2.49,5.52
1177,18.29,0.57,4.26
1178,13.03,2.97,3.63
1179,12.47,1.46,18.81
1180,21.39,6.02,5.65
1181,9.5,1.71,1.91
1182,10.67,3.49,3.54
1183,9.26,3.75,3.22
1184,7.83,1.12,2.23
1185,14.53,5.95,7.32
1186,9.49,2.26,2.51
1187,7.02,2.61,1.04
1188,21.13,6.87,7.25
1189,18.65,2.83,2.4
1190,5.62,1.73,1.81
1191,5.27,0.4,1.96
1192,28.08,2.84,21.9
1193,36.8,2.53,8.83
1194,17.01,7.42,4.91
1195,18.29,3.31,3.11
1196,11.34,1.45,1.35
1197,9.62,3.86,5.16
1198,15.8,2.69,10.61
1199,22.7,2.57,3.25
1200,22.81,4.54,3.55
1201,12.26,0.72,1.68
1202,19,3.27,6.29
1203,10.04,5.63,12.18
1204,14.83,1.4,3.22
1205,20.45,1.63,3.89
1206,22.37,3.94,4.67
1207,7.18,0.71,4.7
1208,3.53,1.94,1.59
1209,19.47,2.54,2.39
1210,12.2,1.39,6.37
1211,22.51,3.15,3.65
1212,13.44,4.31,3.57
1213,7.12,3.25,2.43
1214,12.3,0.89,1.36
1215,12.12,2.59,3.38
1216,16.28,3.41,8.26
1217,14.74,6.36,8.23
1218,5.33,0.6,2.11
1219,7.83,1.51,1.12
1220,3.08,2.17,1.01
1221,16.42,2.01,5.31
1222,7.76,3.09,1.96
1223,6.11,1.21,1.55
1224,5.63,3.95,2.05
1225,10.28,3.48,1.54
1226,5.14,2.72,2.43
1227,6.71,2.44,4.27
1228,12.6,1.83,2.07
1229,12.43,5.32,16.19
1230,27.26,3.74,3.23
1231,15.44,2.21,3.51
1232,16.68,4.84,2.91
1233,17.82,1.02,4.1
1234,11.88,0.65,2.88
1235,10.37,1.9,2.5
1236,15.85,5.65,5.11
1237,4.76,2.03,1.01
1238,15.62,3.9,5.75
1239,11.62,3.21,6.12
1240,17.83,1.12,2.93
1241,10.77,2.13,4.06
1242,9.19,2.14,2.49
1243,23.58,4.83,10.93
1244,30.82,3.1,4.84
1245,8.32,0.43,2.53
1246,13.19,2.65,3.07
1247,13.66,4.13,7.41
1248,19.92,3.93,18.66
1249,22.47,2.48,5.25
1250,26.87,6.25,19.5
1251,5.33,2.9,0.71
1252,10.64,2.37,2.67
1253,19.45,5.62,7.08
1254,10.9,1.68,4.6
1255,9.62,3.04,3.45
1256,7.31,2.62,2.97
1257,6.48,2.69,1.68
1258,11.43,7.47,12.21
1259,5.47,0.21,2
1260,17.17,7.48,3.45
1261,6.64,0.42,1.74
1262,8.3,4.4,2.03
1263,5.35,2.53,5.32
1264,4,2.53,1.08
1265,14.81,6.92,6.48
1266,19.95,5.96,6.5
1267,8.78,2.29,4.07
1268,4.92,1.44,2.6
1269,22.63,4.51,5.79
1270,8.58,3.31,6.77
1271,13.89,3.4,2.89
1272,5.71,0.41,0.66
1273,17.98,0.95,13.5
1274,11.55,3.03,1.81
1275,31.47,6.95,1.2
1276,13.53,2.31,2.68
1277,7.04,1.97,2.05
1278,8.55,2.44,6.11
1279,11.95,2.37,3.46
1280,14.37,2.51,2.4
1281,5.18,3.39,2.63
1282,6.83,1.7,1.15
1283,9.97,4.78,2.03
1284,37.66,7.8,12.12
1285,36.7,3.73,4.3
1286,6.92,1.21,2.65
1287,10.37,2.3,4.21
1288,15.91,2.46,8.41
1289,7.69,2.81,2.09
1290,8.34,1.94,3
1291,17.01,7.17,1.33
1292,12.37,0.53,1.66
1293,19.43,2.89,6.39
1294,14.52,2.99,3.32
1295,17.46,3.7,1.13
1296,9.4,2.77,2.98
1297,9.19,2.84,3.63
1298,18.36,5.11,1.82
1299,14.3,1.62,2.73
1300,29.23,6.41,6.14
1301,8.31,2.61,3.57
1302,14.29,8.79,5.8
1303,9.87,5.62,3.34
1304,6.24,0.45,2.32
1305,28.7,3.02,6.66
1306,9.62,4.32,10.01
1307,26.26,4.87,4.44
1308,6.15,2.06,1.67
1309,10.16,1.87,3.59
1310,3.93,1.8,2.87
1311,20.14,2.45,4.66
1312,17.23,4,3.21
1313,18.13,2.47,7.51
1314,6.04,0.95,3.93
1315,11.22,3.17,4.34
1316,7.97,3.64,2.97
1317,5.32,0.73,3.11
1318,9.66,1.25,0.94
1319,12.91,3.92,1.55
1320,18.36,5.72,6.63
1321,9.17,2.78,1.56
1322,7.11,2.66,3
1323,9.33,4.37,7.72
1324,11.55,0.66,3.53
1325,9.2,3.29,2.02
1326,4.47,4.49,5.19
1327,13.81,4.37,3.89
1328,10.73,2.88,1.9
1329,24.8,3.5,3.91
1330,20.79,4.41,3.59
1331,9.21,2.83,4.2
1332,14.2,6.45,8.97
1333,24.31,15.39,18.91
1334,13.4,1.25,2.22
1335,5.86,1.89,4.83
1336,15.29,6.75,7.23
1337,15.02,3.83,1.88
1338,31.86,5,9.94
1339,10.22,1.04,2.43
1340,11.95,2.49,2.95
1341,6.17,2.19,2.05
1342,9.03,2.87,1.99
1343,11.85,2.47,1.73
1344,5.06,2.77,2.04
1345,12.67,6.1,4.41
1346,6.42,2.43,1.16
1347,9.94,2.35,2.19
1348,8.44,1.75,3.09
1349,3.66,0.64,1.74
1350,22.65,3.91,4.54
1351,6.86,2.6,2.59
1352,16.5,2.22,1.68
1353,9.81,1.08,4.03
1354,9.71,1.65,3.09
1355,36.17,4.06,9.87
1356,6.76,1.05,1.32
1357,10.74,1.77,1.59
1358,12.2,3.3,5.85
1359,15.24,0.7,2.82
1360,19.86,3.78,7.7
1361,7.64,2.02,2.12
1362,3.24,1.26,0.26
1363,5.92,2.3,2.93
1364,8.87,3.85,3.27
1365,12.02,7.25,4.59
1366,5.83,3.29,4.65
1367,18.19,5.18,13.33
1368,1.66,0.47,1.65
1369,5.23,2.96,1.3
1370,13.43,1.86,5.19
1371,8.3,1.92,1.63
1372,17.09,2.76,3.27
1373,1.3,0.73,1.74
1374,14.13,1.59,2.48
1375,5.25,1.29,2.25
1376,6.43,2.6,5.37
1377,12.87,1.97,4.35
1378,6.1,1.67,1.08
1379,13.66,1.74,4.41
1380,3.04,0.33,2.62
1381,28.35,4.15,7.26
1382,9.86,2.57,2.41
1383,12.37,2.01,5.11
1384,10.89,0.21,1.51
1385,11.72,2.74,4.73
1386,17.22,3.05,4.6
1387,9.76,3.84,1.46
1388,12.46,5.36,1.44
1389,11.93,4.09,6.52
1390,11.19,1.22,1.94
1391,10.02,0.81,2.06
1392,10.58,11.22,9.24
1393,29.1,2.87,5.48
1394,8.58,2.36,1.83
1395,15.29,5.29,7.38
1396,5.58,2.28,2.08
1397,14.73,3.3,3.2
1398,12.17,3.26,2.43
1399,8.78,4.19,4.4
1400,16.31,3.22,4.8
1401,11.36,14.17,5.39
1402,17.8,2.59,4.18
1403,10.43,2.54,2.62
1404,5.27,4.28,1.93
1405,18.97,1.96,3.79
1406,13.45,2.07,3
1407,34.26,6.68,16.68
1408,7.17,3.01,1.51
1409,25.12,2.58,5.08
1410,21.66,5.22,3.45
1411,2.79,1.24,1.97
1412,8.4,0.82,2.37
1413,11.67,4.74,3.62
1414,16.96,1.87,4.05
1415,10.64,5.04,6.33
1416,12.82,3.71,4
1417,17.22,3.51,3.87
1418,12.56,3.51,4.34
1419,8,0.81,4.01
1420,3.7,0.79,0.48
1421,6.18,3.02,2.16
1422,8.17,3.14,3.03
1423,11.95,0.73,2.28
1424,11.57,1.12,2.35
1425,18.38,2.41,2.87
1426,18.46,3.17,5.26
1427,9.11,2.86,5.48
1428,18.68,1.65,11.47
1429,18.61,4.73,9.53
1430,15.65,1.6,5.95
1431,3.64,0.43,0.4
1432,15.14,2.47,2.6
1433,9.03,2.54,2.67
1434,14.55,1.86,3.26
1435,3.35,3.03,1.28
1436,26.03,7.61,6.89
1437,19.16,1.58,2.25
1438,16.93,5.4,5.39
1439,17.75,4.31,4.12
1440,6.74,1.31,2.86
1441,11.36,3.1,2.07
1442,10.3,2.06,4.44
1443,8.82,3.06,2.64
1444,17.36,3.87,5.38
1445,7.83,3.21,0.99
1446,11.29,0.84,2.75
1447,9.04,1.19,1.48
1448,11.04,0.23,3.28
1449,16.34,3.3,2.76
1450,9.67,0.28,4.48
1451,14.56,3.42,4.1
1452,15.9,3,2.55
1453,13.06,3.93,3.84
1454,5.75,1.98,2.08
1455,13.46,1.9,2.38
1456,17.7,2.36,2.07
1457,9.05,2.55,3.07
1458,4.07,2.35,1.73
1459,7.14,4.39,1.74
1460,13.15,2.76,7.61
1461,6.19,0.08,2.35
1462,11.28,4.26,2.2
1463,16.39,0.89,3.14
1464,10.73,3.64,2.24
1465,8.44,1.75,1.25
1466,24.47,9.94,9.79
1467,7.69,1.15,1.35
1468,9.32,3.83,2.97
1469,10.71,2.11,2.18
1470,20.98,3.23,3.95
1471,23.5,1.43,4.61
1472,28.04,3.96,6.21
1473,13.9,5.79,8.31
1474,11.97,2.03,1.56
1475,6.01,3,2.4
1476,28.33,5.17,8.48
1477,4.92,0.13,1.34
1478,7.53,1.16,1.51
1479,7.54,0.91,1.63
1480,4.03,3.6,1.78
1481,15.41,4.58,2.33
1482,18.51,4.96,6.45
1483,24.37,2.96,4.69
1484,15.44,3.52,2.3
1485,7.89,2.31,2.09
1486,21.68,2.6,7.93
1487,14.51,5.8,2.14
1488,27.97,3.84,7.66
1489,6.37,0.55,1.29
1490,31.42,2.65,2.73
1491,8.39,0.12,2.4
1492,14.46,2.99,2.34
1493,12.71,3.25,4.99
1494,10.77,1.09,0.93
1495,27.69,2.12,3.33
1496,6.31,1.43,2.98
1497,7.23,1.42,2.02
1498,12.21,2.69,4.78
1499,7.32,2.53,2.5
1500,9.34,3.39,2.4
1501,4.01,1.91,2.35
1502,9.19,0.28,3.94
1503,8.5,1.3,1.2
1504,3.71,3.8,4.25
1505,25.86,11.6,9.71
1506,6.82,3.06,2.27
1507,11.52,3.12,4.1
1508,13.67,2.7,2.25
1509,11.69,2.52,3.85
1510,10.55,1.42,3.59
1511,8.03,2.91,2.29
1512,9.25,0.44,4.41
1513,8.45,2.04,1.7
1514,23.3,4.93,8.64
1515,13.27,3.25,4.79
1516,5.58,3.12,1.24
1517,8.38,3.43,2.26
1518,6.23,2.56,3.2
1519,16.19,1.25,2.52
1520,10.69,2.36,1.42
1521,10.8,2.19,3.75
1522,8.54,0.49,1.83
1523,35.67,2.71,8.62
1524,17.34,3.56,2.93
1525,3.02,0.37,1.87
1526,8.69,2.88,2.78
1527,15.43,2.29,9.04
1528,5.07,1.51,0.84
1529,12.2,3.28,3.68
1530,8.57,3.53,3.34
1531,5.22,2.84,0.99
1532,17.76,3.2,3.19
1533,18.22,1.3,6.45
1534,16.55,2.8,7.28
1535,6.31,3.03,1.76
1536,2.29,1.25,2.04
1537,14.03,3.02,3.08
1538,7.69,2.16,0.83
1539,11.24,2.37,1.68
1540,10.19,2.65,2.97
1541,20.53,3.06,2.62
1542,18.26,5.51,6.96
1543,6.51,2.51,6.25
1544,10.58,2.28,3.14
1545,8.83,3.12,4.83
1546,5.2,0.68,2.04
1547,13.53,2.64,3.7
1548,11.91,3.31,1.7
1549,13.32,1.34,2.98
1550,9.6,3.53,2.03
1551,19.36,1.84,8.47
1552,6.6,3.53,2.66
1553,16.63,4.17,4.12
1554,9.71,0.62,1.98
1555,15.57,3.01,3.65
1556,19.95,4.28,5.78
1557,13.39,3.71,3.39
1558,15.08,1.76,2.85
1559,17.83,2.25,3.28
1560,9.04,1.43,1.12
1561,12.04,2.86,1.3
1562,13.56,3.33,4.08
1563,7.8,0.4,3
1564,7.68,1.22,1.56
1565,17.4,3.16,3.56
1566,23.64,7.21,13.31
1567,18.29,4.25,2.93
1568,10.88,3.41,2.7
1569,5.42,2.69,1.18
1570,4.14,3.06,1.82
1571,11.76,0.76,1.86
1572,11.77,0.49,3.74
1573,9.52,2.54,1.05
1574,10.42,6.59,4.24
1575,10.99,3.35,2.83
1576,12.55,0.91,2.62
1577,20.24,2.65,4.91
1578,9.55,2.2,3.66
1579,11.18,0.8,2.7
1580,24.79,4.71,6.1
1581,9.92,1.82,2.18
1582,9.41,2.44,3.73
1583,6.1,1.38,2.87
1584,9.55,1.35,2.76
1585,27.9,2.85,5.81
1586,8.33,3.66,1.9
1587,19.54,3.48,5.39
1588,19.39,7.17,5.86
1589,12.17,1.95,2.55
1590,17.55,5.4,7.9
1591,14.03,3.68,3.19
1592,13.62,2.16,3.01
1593,15.68,0.93,3.47
1594,4.45,1.25,2.03
1595,9.95,0.21,4.29
1596,4.79,0.84,2.17
1597,10.23,1.78,1.86
1598,5.45,0.59,1.07
1599,7.32,2.8,4.17
1600,25.94,4.34,4.56
1601,8.69,2.86,1.75
1602,6.14,1.65,5.81
1603,12.96,2.98,5.28
1604,11.21,3.18,3.72
1605,9.75,3.49,4.61
1606,9.56,3.3,4.79
1607,9.69,2.74,2.56
1608,5.2,1.73,1.12
1609,8.19,3.78,5.96
1610,3.94,1.32,2.13
1611,12.54,3.94,13.03
1612,13.08,4.13,2.53
1613,6.41,2.9,2.76
1614,8.3,2.85,2.44
1615,15.22,6.77,5.79
1616,11.53,3.58,2.84
1617,14.76,2.63,4.15
1618,15.77,4.18,16.4
1619,4.28,1.86,1.24
1620,12.46,3.45,4.45
1621,6.3,0.54,0.83
1622,14.82,1.66,2.96
1623,12.16,5.94,10.87
1624,21.8,4.31,11.26
1625,24.34,4.86,8.45
1626,8.54,3.29,1.75
1627,21.59,4.37,4.6
1628,4.05,2.2,1.85
1629,8.38,0.25,2.23
1630,18.46,1.09,3.51
1631,17.71,3.05,9.03
1632,9.76,2.07,4.01
1633,1.71,1.01,2.02
1634,4.98,0.81,1.24
1635,5.86,2.97,0.98
1636,6.96,2.61,1.22
1637,9.94,1.06,2.7
1638,12.24,2.91,3.23
1639,6.73,2.03,2.81
1640,21.99,4.89,7.24
1641,18.79,2.87,5.24
1642,12.22,2.43,1.92
1643,5.07,2.4,1.24
1644,16.53,11.41,8.53
1645,17.73,2.23,4.25
1646,27.22,3.6,7.21
1647,2.25,1.97,1.15
1648,18.25,2.98,3.21
1649,20.33,1.73,7.31
1650,16.62,6.67,8.2
1651,11.25,3.66,14.46
1652,22.12,4.21,8.67
1653,6.85,1.49,1.9
1654,11.57,2.23,2.79
1655,10.22,1.18,2.33
1656,10.46,2.25,5.84
1657,8.13,2.39,2.51
1658,16.33,2.76,4.39
1659,6.13,4.5,1.82
1660,11.41,1.48,3.55
1661,28.43,2.3,6.92
1662,6.5,3.43,2.41
1663,14.47,2,3.14
1664,21.6,1.85,4.69
1665,8.72,1,2.84
1666,6.95,3.41,1.78
1667,7.66,0.47,2.78
1668,16.74,5.16,6.14
1669,19.36,1.54,3.37
1670,7.99,2.77,1.05
1671,10.1,4.25,5.58
1672,2.11,0.15,1.2
1673,11.21,1.6,2.75
1674,24.14,0.86,7.46
1675,12.09,3.03,3.95
1676,12.86,3.01,1.69
1677,14.68,1.95,2.32
1678,5.75,2.51,2.59
1679,6.71,3.03,1.8
1680,12.69,2.77,1.74
1681,5.42,3.03,1.04
1682,28.26,6.51,5.91
1683,16.95,0.17,5.3
1684,11.53,3.09,2.59
1685,15.71,3.54,4.03
1686,7.67,3.41,1.67
1687,8.8,3.21,2.82
1688,24.96,3.29,4.97
1689,5.34,0.87,1.47
1690,7.18,0.8,2.44
1691,7.36,3.1,1.53
1692,8.34,1.72,2.73
1693,3.91,1.11,4.99
1694,6.23,1.85,2.35
1695,11.11,4.71,1.8
1696,10.26,2.2,3.64
1697,11.13,1.57,1.62
1698,19.86,3.33,1.79
1699,5.45,2.28,2.34
1700,2.17,1.27,1.08
1701,29.53,22,12.79
1702,10.36,1.15,6.17
1703,6.66,3.71,3.17
1704,5.73,1.65,2.82
1705,6.81,4.03,2.55
1706,3.65,0.66,0.31
1707,15.63,1.23,7.21
1708,24.3,4.28,9.77
1709,11.99,4.03,2.38
1710,11.93,2.56,2.51
1711,31.94,11.32,7.21
1712,12.21,6.08,2.6
1713,17.54,2.35,3.21
1714,13.24,1.09,3.66
1715,16.05,1.42,2.35
1716,20.28,2,2.47
1717,21.62,5.85,6.98
1718,9.18,0.47,2.36
1719,8.11,3.1,2.92
1720,6.83,2.76,2
1721,5.46,0.39,2.01
1722,11.96,1.86,6.44
1723,3.28,3.27,1.48
1724,11.56,1.55,2.48
1725,20.86,3.52,6.16
1726,28.8,14.65,17.97
1727,17.88,2.85,13.12
1728,4.8,2.17,1.04
1729,9.98,0.98,3.22
1730,15.6,1.12,2.88
1731,4.45,1.1,0.23
1732,3.6,2.33,1.14
1733,7.15,1.6,1.39
1734,14.44,3.31,4.64
1735,17.4,5.15,9.61
1736,7.05,2.64,2.74
1737,16.98,4.22,5.25
1738,12.1,1.85,3.49
1739,24.64,6.81,5.19
1740,15.15,3.05,3.82
1741,13.4,4.97,3.45
1742,10.34,1.87,1.87
1743,7.21,1.89,2.79
1744,18.14,9.4,27.07
1745,18.29,7.32,6.44
1746,21.26,2.9,3.75
1747,6.86,2.12,1.71
1748,14.63,2.58,4.16
1749,6.9,2.73,1.7
1750,6.93,1.16,1.16
1751,3.46,0.25,0.34
1752,19.62,3.43,3.78
1753,1.77,0.05,0.68
1754,13.46,3.72,6.02
1755,19.02,8.26,5.39
1756,15.79,0.7,9.61
1757,25.32,3.21,3.28
1758,17.15,1.57,2.28
1759,24.69,5.37,10.76
1760,10.7,4.26,2.27
1761,4.99,1.89,1.91
1762,4.95,2.2,0.96
1763,18.63,3.53,3.84
1764,11.51,0.57,2.22
1765,17.71,2.26,2.31
1766,3.39,1.1,1.62
1767,11.66,2.14,2.2
1768,4.91,1.33,2.52
1769,14.05,7.21,2.99
1770,6.78,2.9,2.97
1771,11.02,4.67,3.68
1772,12.16,3.59,2.64
1773,6.13,3.57,1.24
1774,44.74,16.27,16.5
1775,2.47,1.27,2.6
1776,4.41,2.9,0.49
1777,8.94,1.36,2.71
1778,7.06,1.5,1.93
1779,7.61,2.88,3.9
1780,3.95,2.8,2.03
1781,11.52,2.23,2.07
1782,34.55,8.07,10.72
1783,20.24,6.18,5.32
1784,5.83,1.78,0.86
1785,10.91,2.2,6.46
1786,23.44,3.1,4.76
1787,7.58,2.58,1.69
1788,5.54,2.59,3.76
1789,9.71,0.39,2.62
1790,9.18,1.91,2.94
1791,7.19,0.96,2.91
1792,8.76,1.8,2.01
1793,7.56,1.13,2.4
1794,20.43,8.75,8.08
1795,24.16,3.83,9.48
1796,13.22,1.99,4.4
1797,21.21,1.67,4.2
1798,13.47,2.6,3.14
1799,13.57,1.85,2.97
1800,12.71,1.65,1.69
1801,11.23,1.02,1.72
1802,1.95,0.75,2.42
1803,10.68,3.21,2.75
1804,30.13,4.17,16.36
1805,15.82,4.63,4.68
1806,15.97,2.88,7.18
1807,7.38,3.73,1.68
1808,7.84,1.08,4.75
1809,9.2,2.89,1.83
1810,8.01,1.43,1.71
1811,5.05,2.97,1.97
1812,14.16,1.77,9.97
1813,8.26,3.31,2.93
1814,15.27,1.95,1.86
1815,23.96,4.53,5.53
1816,9.84,3.04,4.5
1817,4.98,1.22,2.3
1818,5.87,2.98,2.02
1819,24.28,6.45,9.6
1820,30.65,6.13,12.32
1821,18.16,2.4,3.31
1822,7.88,1.26,3.95
1823,9.04,3.18,1.48
1824,4.39,1.7,2.25
1825,22.45,2.55,6.5
1826,5.02,0.89,1.12
1827,5.18,1.89,1.75
1828,1.28,2,1.09
1829,6.54,0.91,1.03
1830,22.1,7.83,8.75
1831,29.27,10.58,11.22
1832,6.03,1.71,1.45
1833,9.87,1.8,5.2
1834,13.56,1.22,2.06
1835,21.79,6.56,6.1
1836,7.12,3.01,3.25
1837,2.02,0.18,1.56
1838,7.96,3.96,7.56
1839,6.49,1.19,1.37
1840,4.67,1.22,3.05
1841,18.85,7.52,9.37
1842,13.64,4.28,3.23
1843,23.9,4.87,11.71
1844,31.11,4.14,3.65
1845,8.81,16.43,14.27
1846,18.55,4.7,5.17
1847,8.42,2.14,1.55
1848,14.37,2.82,1.26
1849,14.71,5.56,3.23
1850,17.84,3.18,1.97
1851,7.2,2.41,5.75
1852,15.25,2.47,2.02
1853,17.65,3.19,3.96
1854,8.15,1.34,2.66
1855,18.37,2.94,3.09
1856,14.25,2.38,2.82
1857,7.06,2.14,10.15
1858,21.49,2.27,3.59
1859,16.49,3.82,2.49
1860,8.87,0.89,2.27
1861,8.99,1.33,1.39
1862,13.05,3.01,2.98
1863,3.08,3.01,1.5
1864,8.24,1.31,1.69
1865,23.73,4.4,5.76
1866,28.34,2.19,3.67
1867,18.1,17.89,24.65
1868,7.78,0.44,2.58
1869,23.37,4.56,11.84
1870,8.6,0.69,0.79
1871,21.64,2.31,3.43
1872,8.73,3.05,2.15
1873,10.83,0.76,2.67
1874,4.43,0.88,1.85
1875,6.63,1.98,2.81
1876,9.16,1.63,5.82
1877,16.84,3.17,4.04
1878,13.19,3.01,3.16
1879,15.71,2.48,18.91
1880,21.04,5.07,5.16
1881,9.69,0.78,1.77
1882,13.06,1.82,1.94
1883,7.54,1.75,1.9
1884,6.75,1.04,1.26
1885,13.95,6.57,6.96
1886,7.35,0.95,2.18
1887,10.16,0.58,1.23
1888,24.99,6.14,6.06
1889,18.56,2.92,3.05
1890,5.36,0.47,0.91
1891,8.21,1.76,2.33
1892,28.08,2.92,21.57
1893,37.33,3.05,8.92
1894,20.34,7.94,5.68
1895,21.09,2.58,3.12
1896,7.13,2.4,1.21
1897,7.53,4.24,4.96
1898,13.51,3.43,10.57
1899,19.81,2.35,4.2
1900,24.19,5.09,3.67
1901,9.88,2.22,0.92
1902,18.85,1.91,5.79
1903,8.86,4.22,12.97
1904,18.76,3.03,3.45
1905,20.83,1.23,3.11
1906,23.76,2.99,5.59
1907,9.55,1.68,5.45
1908,5.92,3.05,2.44
1909,19.49,3.21,2.03
1910,8.41,3.11,7.14
1911,22.52,3.97,4.11
1912,9.34,2.05,4.99
1913,6.41,3.19,2.01
1914,12.42,1.65,1.57
1915,11.58,3.89,3.76
1916,16.96,0.54,7.58
1917,14.95,6.58,8.23
1918,6.59,1.71,1.15
1919,5.93,2.3,1.73
1920,6.54,2.49,1.56
1921,17.88,3.47,6.2
1922,9.66,1.21,1.61
1923,7.98,0.95,1.75
1924,7.98,4.27,1.47
1925,8.81,2.34,0.63
1926,4.48,0.38,2.67
1927,7.25,2.59,4.46
1928,12.46,3.51,2.51
1929,9.01,5.04,17.09
1930,24.24,4.43,2.98
1931,14.01,3.73,2.49
1932,18.79,4.9,1.67
1933,17.58,2.73,3.13
1934,8.26,1.88,4.28
